,StartingLongitude,StartingLatitude,EndingLongitude,EndingLatitude,StartingtimeStampInMS,EndtimeStampInMS,ActivityType,Distance,User
0,212487201,523347441,211504943,522381707,1639818280045,1639828499869,IN_PASSENGER_VEHICLE,12647,User1
1,211552593,522379732,212477909,523285067,1639834096376,1639839539088,IN_PASSENGER_VEHICLE,14035,User1
2,212476887,523282049,212487124,523347383,1639844953042,1639905039806,IN_PASSENGER_VEHICLE,789,User1
3,212487189,523347437,212487210,523347440,1639915480124,1639937693253,IN_PASSENGER_VEHICLE,46636,User1
4,212486052,523347935,212399091,523385598,1640089325185,1640100302000,IN_PASSENGER_VEHICLE,786,User1
5,212402391,523380058,212487189,523347437,1640117697567,1640117938618,IN_PASSENGER_VEHICLE,694,User1
6,212487142,523347425,212354722,523380700,1640177867196,1640178914643,IN_PASSENGER_VEHICLE,3183,User1
7,212328167,523361317,212487206,523347443,1640180255525,1640184623839,IN_PASSENGER_VEHICLE,3557,User1
8,212487153,523347426,212487145,523347430,1640191821667,1640192728529,IN_PASSENGER_VEHICLE,3021,User1
9,212450664,523392976,212486938,523348106,1640285687270,1640286334210,IN_PASSENGER_VEHICLE,3116,User1
10,212487208,523347454,212481684,523395132,1640336385919,1640337232743,IN_PASSENGER_VEHICLE,1970,User1
11,212486976,523348033,211631788,521731142,1640363263330,1640370390382,IN_PASSENGER_VEHICLE,21823,User1
12,211631148,521731668,212487114,523347464,1640380770644,1640383475321,IN_PASSENGER_VEHICLE,21053,User1
13,212487145,523347430,212398950,523385916,1640384682712,1640385645625,IN_PASSENGER_VEHICLE,764,User1
14,212354900,523394595,212487129,523347430,1640392326394,1640392885843,IN_PASSENGER_VEHICLE,1050,User1
15,212487113,523347562,212344913,523361652,1640437859245,1640438114264,IN_PASSENGER_VEHICLE,978,User1
16,212380836,523365345,212487208,523347454,1640446102229,1640447262410,IN_PASSENGER_VEHICLE,749,User1
17,212487207,523347454,212850967,521336699,1640521028120,1640523429119,IN_PASSENGER_VEHICLE,22577,User1
18,212850967,521336699,212519625,521214048,1640532496712,1640533078489,IN_PASSENGER_VEHICLE,2682,User1
19,212519625,521214048,210093372,522350481,1640533078489,1640536062429,IN_TRAIN,24037,User1
20,210093372,522350481,210132354,522332321,1640536062429,1640536662007,WALKING,569,User1
21,210122747,522330097,210377957,522557329,1640541184072,1640542775786,IN_SUBWAY,3476,User1
22,210382144,522559002,212571298,523535153,1640543945085,1640545498142,IN_TRAIN,18430,User1
23,212571298,523535153,212487187,523347539,1640545498142,1640546117626,IN_PASSENGER_VEHICLE,2402,User1
24,212487197,523347440,212402478,523385204,1640601820232,1640602129820,IN_PASSENGER_VEHICLE,712,User1
25,212406194,523383154,212487129,523347430,1640603058255,1640615918542,IN_PASSENGER_VEHICLE,2485,User1
26,212486942,523348151,212486926,523347523,1640619599133,1640624759509,IN_PASSENGER_VEHICLE,3652,User1
27,212487233,523347413,212450527,523390545,1640628219400,1640629925270,IN_PASSENGER_VEHICLE,540,User1
28,212486735,523347824,212486152,523357745,1640689352065,1640690503000,IN_PASSENGER_VEHICLE,5444,User1
29,212487341,523347522,212487357,523347524,1640696781738,1640701746854,IN_PASSENGER_VEHICLE,3649,User1
30,212485439,523353840,212448341,523412178,1640721582815,1640721712220,IN_PASSENGER_VEHICLE,695,User1
31,212441058,523401143,212487021,523347953,1640729198583,1640729480412,IN_PASSENGER_VEHICLE,668,User1
32,212487359,523347535,212397242,523390918,1640773069510,1640773312006,IN_PASSENGER_VEHICLE,795,User1
33,212395757,523391186,212486496,523348237,1640773914515,1640774516603,IN_PASSENGER_VEHICLE,1112,User1
34,212487359,523347535,212487211,523347751,1640775372716,1640787152432,IN_PASSENGER_VEHICLE,8141,User1
35,212484645,523346555,212449615,523393240,1640800899000,1640803489502,IN_PASSENGER_VEHICLE,2637,User1
36,212486889,523347646,212487230,523347515,1640870726125,1640874279564,IN_PASSENGER_VEHICLE,1772,User1
37,212487229,523348500,212361833,523460709,1640876332153,1640876879000,IN_PASSENGER_VEHICLE,1737,User1
38,212361833,523460709,210339736,522548939,1640876879000,1640878486732,IN_TRAIN,17090,User1
39,210336485,522545741,210169382,522727338,1640878954000,1640879566000,IN_BUS,2410,User1
40,210167893,522701173,210334759,522556279,1640889338248,1640889829836,IN_TRAM,2025,User1
41,210343467,522558514,210182087,522361928,1640890813388,1640891054000,IN_SUBWAY,2481,User1
42,210186698,522352603,210195568,522330326,1640892980659,1640893281109,WALKING,254,User1
43,210186538,522326705,210192211,522328155,1640896646056,1640896886968,WALKING,42,User1
44,210192886,522336337,210376996,522550635,1640906362712,1640907432585,IN_SUBWAY,2828,User1
45,210382141,522558884,212319502,523432586,1640908295873,1640909391000,IN_TRAIN,16368,User1
46,212426926,523462869,212487206,523351209,1640909642084,1640910571654,WALKING,1562,User1
47,212487351,523347524,212328167,523361317,1640956852935,1640957309599,IN_PASSENGER_VEHICLE,1092,User1
48,212368807,523358281,212487347,523347521,1640959665032,1640959907602,IN_PASSENGER_VEHICLE,814,User1
49,212487357,523347531,212289323,523382611,1640963332934,1640963640105,IN_PASSENGER_VEHICLE,1400,User1
50,212288750,523382861,212487359,523347531,1640963898804,1640964273554,IN_PASSENGER_VEHICLE,1533,User1
51,212487358,523347536,211932579,523259539,1640975744509,1640977026266,IN_PASSENGER_VEHICLE,4593,User1
52,211932579,523259539,211972697,523253773,1640977026266,1640978206945,WALKING,1366,User1
53,209007721,522408458,209066523,522444855,1639998145373,1639998745274,WALKING,894,User3
54,209066802,522440081,209004928,522410968,1640003722091,1640004549596,WALKING,780,User3
55,208997671,522404823,209060018,522398236,1640014132889,1640014494704,WALKING,483,User3
56,209087780,522405820,208998500,522421321,1640014879327,1640015499737,WALKING,735,User3
57,208996662,522407086,209008914,522403851,1640101403112,1640103756186,WALKING,3575,User3
58,209003912,522404396,208992888,522399081,1640162305000,1640162382000,WALKING,125,User3
59,208977000,522395771,210019649,522266094,1640162734364,1640164655273,IN_BUS,7669,User3
60,210020183,522265601,209008112,522404482,1640169575760,1640171781189,IN_SUBWAY,7899,User3
61,208997551,522413108,209135453,522394734,1640248467000,1640249104000,WALKING,1263,User3
62,209127898,522398917,209148635,522292815,1640250807832,1640251411027,IN_BUS,1775,User3
63,209145536,522291623,209007058,522407806,1640253578014,1640254558978,IN_BUS,2753,User3
64,209004242,522405052,209005037,522411226,1640270272630,1640272207991,WALKING,2658,User3
65,208994832,522405618,208994135,522424465,1640338433650,1640338579521,IN_PASSENGER_VEHICLE,218,User3
66,208996538,522424733,209333399,522415699,1640338922788,1640339791953,IN_PASSENGER_VEHICLE,2597,User3
67,209328177,522415909,209004692,522411288,1640342561453,1640343065289,IN_PASSENGER_VEHICLE,2378,User3
68,209006746,522405245,209038937,522258097,1640357755234,1640358255058,IN_PASSENGER_VEHICLE,1953,User3
69,209046255,522254150,208989750,522414570,1640370368196,1640370796040,IN_PASSENGER_VEHICLE,2606,User3
70,208994265,522405512,218872805,513241714,1640426278000,1640433125000,IN_PASSENGER_VEHICLE,166032,User3
71,218871745,513240865,219457754,514474424,1640510716238,1640512918986,IN_PASSENGER_VEHICLE,32519,User3
72,218903987,513246085,218883910,513240180,1640545126025,1640545487833,WALKING,366,User3
73,218869818,513242656,208994674,522407976,1640790411000,1640798886000,IN_PASSENGER_VEHICLE,157396,User3
74,209006408,522411730,209040791,522262123,1640800209535,1640800823249,IN_PASSENGER_VEHICLE,1856,User3
75,209039634,522258078,209004028,522404829,1640803753090,1640804262957,IN_PASSENGER_VEHICLE,2209,User3
76,208996425,522405276,209143616,522290739,1640940749084,1640941512948,IN_BUS,2631,User3
77,209145271,522291846,208992077,522406080,1640943310320,1640944047250,IN_BUS,2597,User3
78,208997865,522418770,209002921,522424816,1640949666538,1640950177248,WALKING,405,User3
79,208997029,522423377,209005124,522412061,1640950876754,1640950981067,WALKING,137,User3
80,208997654,522404696,209154866,522067170,1640975136000,1640976424221,IN_BUS,5503,User3
81,209154866,522067170,211697146,522035135,1640976424221,1640978723765,IN_TRAIN,18559,User3
82,211697146,522035135,211587513,522029053,1640978723765,1640979332763,WALKING,807,User3
83,211970368,523235510,211970353,523166885,1641002448000,1641003124000,WALKING,882,User1
84,211962616,523159035,211605381,523032704,1641003608000,1641003937000,IN_BUS,3087,User1
85,211609703,523037146,212487358,523347526,1641005029290,1641006848618,IN_PASSENGER_VEHICLE,6895,User1
86,212487355,523347527,212407100,523361411,1641045498127,1641046029259,WALKING,635,User1
87,212364141,523362037,212487257,523347769,1641049658805,1641050406328,WALKING,913,User1
88,212487347,523347521,212418299,523384208,1641060277582,1641060411619,IN_PASSENGER_VEHICLE,621,User1
89,212424233,523392007,212486190,523348481,1641061209581,1641062391970,IN_PASSENGER_VEHICLE,731,User1
90,212487308,523347436,212360983,523359451,1641213970965,1641215214128,IN_PASSENGER_VEHICLE,899,User1
91,212360966,523359516,212487359,523347531,1641215643244,1641216273650,IN_PASSENGER_VEHICLE,869,User1
92,212487350,523347520,212361392,523360107,1641303513027,1641307335979,IN_PASSENGER_VEHICLE,867,User1
93,212362413,523360514,212487185,523347649,1641308631799,1641309848769,IN_PASSENGER_VEHICLE,879,User1
94,212452958,523393570,212487368,523347419,1641331981891,1641334760195,IN_PASSENGER_VEHICLE,1079,User1
95,212486639,523356606,212367243,523362450,1641386926758,1641387047221,IN_PASSENGER_VEHICLE,813,User1
