,PlaceId,Longitude,Latitude,StartTimeStampInMS,EndTimeStampInMS,Name,User
0,ChIJbRwBaD7SHkcRi9b7G3R1SIA,211563140,522369213,1639828499869,1639834096376,Roman Catholic Church of Saint Felix of Cantalice,User1
1,ChIJ14ZzIIPaHkcR1zazvxh5O7s,212470406,523298670,1639839539088,1639844953042,Sosnowa 21,User1
2,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1639905039806,1639915480124,Szara 10,User1
3,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1639937693253,1640089325185,Szara 10,User1
4,ChIJMchhxpnaHkcRNaz0xZfRGRA,212400819,523383482,1640100302000,1640117697000,Church,User1
5,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1640117938618,1640177867196,Szara 10,User1
6,ChIJn4AA55jaHkcR3BYqNOm9ezk,212361599,523361850,1640178914643,1640180255525,Partyzantów 5,User1
7,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1640184623839,1640191821667,Szara 10,User1
8,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1640192728529,1640285687270,Szara 10,User1
9,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1640286334210,1640336385919,Szara 10,User1
10,ChIJt_8Ij5DaHkcR0TALHyuzTz4,212471295,523389470,1640337232743,1640340547009,Sklep spożywczy PSS Społem,User1
11,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1640340547009,1640363263330,Szara 10,User1
12,ChIJ7whN1TbTHkcRiUbWsj6Q2Zc,211632001,521730084,1640370390382,1640380770644,Strzygłowska 75A,User1
13,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1640383475321,1640384682712,Szara 10,User1
14,ChIJMchhxpnaHkcRNaz0xZfRGRA,212394560,523385003,1640385645625,1640392326394,Church,User1
15,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1640392885843,1640437859245,Szara 10,User1
16,ChIJn4AA55jaHkcR3BYqNOm9ezk,212361599,523361850,1640438114264,1640446102229,Partyzantów 5,User1
17,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1640447262410,1640521028120,Szara 10,User1
18,ChIJuQO0D7UqGUcReiA_CxfllDs,212875990,521392380,1640523429119,1640532496712,Majowa 156,User1
19,ChIJRVu07PTMHkcRBIvoTDv2GMg,210143130,522334076,1640536662007,1640541184072,Green Caffè Nero,User1
20,ChIJN-PsvzjMHkcRfTgyFOANuJY,210387900,522560300,1640542775786,1640543945085,Warszawa Wileńska,User1
