,PlaceId,Longitude,Latitude,StartTimeStampInMS,EndTimeStampInMS,Name
0,ChIJm_uSxY7LHkcRfCl8PScvsxI,209845220,522571543,1633090589760,1633093443148,Arkadia
1,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633094938765,1633185737889,Bieniewicka 4
2,ChIJb5O6UQnLHkcRInsmtv-cwC4,209797336,522746553,1633185874734,1633186357173,Carrefour Express Potocka P27
3,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633186598649,1633253257100,Bieniewicka 4
4,ChIJ0xhf5EnJHkcR8eVpalqnuXk,210199765,523023426,1633255230157,1633262274528,Murall Centrum Wspinaczkowe + FunClimb
5,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633263959625,1633285609923,Bieniewicka 4
6,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633292813175,1633343912167,Bieniewicka 4
7,ChIJjXFvw-jLHkcRbWt_dRnJefk,209802426,522746719,1633344083921,1633345194208,Kumpir & Kebab Warszawa Żoliborz Bielany
8,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633345676811,1633357305476,Bieniewicka 4
9,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1633359843204,1633368085713,Warsaw University of Technology
10,ChIJZV81h-jMHkcRFp6pneXHQcY,210144800,522176200,1633368690962,1633369062575,Politechnika
11,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633370272952,1633430561699,Bieniewicka 4
12,ChIJlcMkBQPNHkcRDcbxmm7alPo,209981910,522389739,1633432348933,1633434363010,Jaja Łowickie ®
13,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633435857704,1633448215351,Bieniewicka 4
14,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1633450191485,1633456332439,Warsaw University of Technology
15,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633458475872,1633459026518,Bieniewicka 4
16,ChIJ0xhf5EnJHkcR8eVpalqnuXk,210199765,523023426,1633460638678,1633467207000,Murall Centrum Wspinaczkowe + FunClimb
17,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633469452432,1633527253539,Bieniewicka 4
18,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1633529213324,1633538906000,Warsaw University of Technology
19,ChIJibw7apvMHkcRLs9bbuHsyAo,209833936,522302470,1633539884220,1633540256000,Rondo Daszyńskiego
20,ChIJLwDPGn7LHkcR4sSThMW8Ags,209789392,522387394,1633540634666,1633551882175,Okopowa 14
21,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633553048195,1633613564000,Bieniewicka 4
22,ChIJQ0Ysw-jLHkcR913z1brHCpI,209803373,522747343,1633613609000,1633614761225,Pan Sushi
23,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633614891769,1633625284014,Bieniewicka 4
24,ChIJ0xhf5EnJHkcR8eVpalqnuXk,210199765,523023426,1633626494780,1633635139947,Murall Centrum Wspinaczkowe + FunClimb
25,ChIJQ0Ysw-jLHkcR3ToXxUsp19I,209795052,522747856,1633636356357,1633636839747,Stream Bar & Concert Hall
26,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633636839747,1633707973252,Bieniewicka 4
27,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1633709692776,1633716627831,Warsaw University of Technology
28,ChIJZV81h-jMHkcRFp6pneXHQcY,210144800,522176200,1633718803600,1633728602889,Politechnika
29,ChIJff3tefPMHkcR7FspPzwY1to,210120230,522312260,1633728965179,1633729947930,Pizza Hut
30,ChIJsZtLYl_NHkcRjrcqH6zalnY,210167133,522326994,1633730197380,1633732648136,Pizza na Chmielnej
31,ChIJIQZkFPPMHkcRpQq8gdD-KIw,210108289,522304991,1633732890168,1633733252534,Centrum
32,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633734239408,1633790493578,Bieniewicka 4
33,ChIJQ0Ysw-jLHkcR913z1brHCpI,209803373,522747343,1633790686134,1633792051312,Pan Sushi
34,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633792186384,1633803565638,Bieniewicka 4
35,ChIJhyJQNMPMHkcRpZEbaJUh5TY,210102160,522115880,1633805539648,1633819716200,Klub Stodoła
36,ChIJW46KycTMHkcR2uv-Kg-QFz8,210073712,522094192,1633819959147,1633820329950,Pole Mokotowskie
37,ChIJLwDPGn7LHkcR4sSThMW8Ags,209789392,522387394,1633822756267,1633865885902,Okopowa 14
38,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633866892200,1633935084000,Bieniewicka 4
39,ChIJlb5oHevMHkcRnyVimDipva8,210029041,522199490,1633936877000,1633943253368,XIV Liceum Ogólnokształcące im. Stanisława Staszica
40,ChIJm_uSxY7LHkcRfCl8PScvsxI,209845220,522571543,1633944928898,1633946938186,Arkadia
41,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633948665115,1633963514928,Bieniewicka 4
42,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1633965462517,1633974005903,Warsaw University of Technology
43,ChIJm_uSxY7LHkcRfCl8PScvsxI,209845220,522571543,1633975903934,1633977726332,Arkadia
44,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1633978898480,1634035006395,Bieniewicka 4
45,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634036754314,1634040459749,Warsaw University of Technology
46,ChIJn0UO1e7MHkcRVgYGLreLRWU,210132420,522206800,1634040821763,1634041313795,Żabka
47,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634041825887,1634061805813,Warsaw University of Technology
48,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634063418396,1634124057864,Bieniewicka 4
49,ChIJL9KHDp_NHkcRiTYjXq5FsT0,210144058,522223082,1634125533197,1634131507355,Uki Green
50,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634131878976,1634144499917,Warsaw University of Technology
51,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634146818973,1634276756000,Bieniewicka 4
