,PlaceId,Longitude,Latitude,StartTimeStampInMS,EndTimeStampInMS,Name,User
0,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1633085111406,1633087329197,Szara 10,User1
1,ChIJSf9xa1_MHkcRmFIAnsRN7Eo,210086376,522358472,1633204945726,1633212327833,Kebab Bajka,User1
2,ChIJZ9-3oDjMHkcRonZOSCq1Bws,210378302,522550292,1633448353484,1633456479856,Galeria Wileńska,User1
3,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1633528286701,1633544531122,Warsaw University of Technology,User1
4,ChIJF8u2SOnMHkcRd05HiSt7uJw,210105640,522205240,1633706684188,1633729140844,Studium Języków Obcych Politechniki Warszawskiej,User1
5,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1633729140844,1633853160447,Szara 10,User1
6,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1633947285923,1633953003852,Warsaw University of Technology,User1
7,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634302870000,1634312611000,Warsaw University of Technology,User1
8,ChIJb_pbifbMHkcRQvroewdFwcg,210199889,522328910,1634321964562,1634331900276,Pawilony Nowy Świat,User1
9,ChIJO8G_JJjaHkcRqHU15pImZjY,212417700,523395317,1634829596730,1634839645023,Lidl,User1
10,ChIJnXKZ3wLNHkcRRf3RB361CxI,210422198,522224061,1634841272000,1634850735000,Arena COS Torwar,User1
11,ChIJHUm6LpvaHkcRbIs_-aEXOL4,212483298,523347168,1634856618193,1634887867746,Szara 10,User1
12,ChIJhzdbxufMHkcRzrQZqjrqrm0,210161715,522162254,1634887867746,1634909999626,Riviera Dance School,User1
13,ChIJ27Vh22_NHkcRcOTtl-cpWAU,210130229,522489235,1634915681372,1634925528000,Jesuit church,User1
14,ChIJmWFsjSXIHkcRdTtiNn5y--Y,209406770,523516080,1634929809753,1635061780610,Misjonarze Kombonianie - Warszawa Dom Rekolekcyjny,User1
15,ChIJt_8Ij5DaHkcR0TALHyuzTz4,212471295,523389470,1635061780610,1635065060603,Sklep spożywczy PSS Społem,User1
16,ChIJm_uSxY7LHkcRfCl8PScvsxI,209845220,522571543,1633090589760,1633093443148,Arkadia,User2
