,Longitude,Latitude,TimeStampInMS,User
0,212486991,523347434,1639819983349.0,User1
1,211383209,522948837,1639823389957.0,User1
2,211504650,522382202,1639826796565.0,User1
3,212487201,523347441,1639818280045,User1
4,211504943,522381707,1639828499869,User1
5,212404060,523363380,1639839055615,User1
6,211552333,522380218,1639834640647.2,User1
7,211419620,522783546,1639835729189.6,User1
8,212405433,523361434,1639836817732.0,User1
9,212474098,523302993,1639837906274.4,User1
10,212477245,523285102,1639838994816.8,User1
11,211552593,522379732,1639834096376,User1
12,212477909,523285067,1639839539088,User1
13,212476891,523282051,1639844953043,User1
14,212504006,523313440,1639845073137,User1
15,212487124,523347383,1639845447726,User1
16,212476887,523282049,1639844953042,User1
17,212487124,523347383,1639905039806,User1
18,212505285,523335559,1639915600213,User1
19,212712736,523318587,1639915856000,User1
20,212711838,523311572,1639915920000,User1
21,212705231,523297646,1639916076000,User1
22,212952061,522475050,1639917485912,User1
23,212873169,521808042,1639918410742,User1
24,212974069,521645780,1639929715800,User1
25,213245010,522968603,1639931269221,User1
26,212487189,523347437,1639915480124,User1
27,212487210,523347440,1639937693253,User1
28,212486934,523347969,1640091154654.1667,User1
29,212455863,523363037,1640094813592.5,User1
30,212399501,523381538,1640098472530.8333,User1
31,212486052,523347935,1640089325185,User1
32,212399091,523385598,1640100302000,User1
33,212403602,523380088,1640117737742.1667,User1
34,212455863,523363037,1640117818092.5,User1
35,212486991,523347434,1640117898442.8333,User1
36,212402391,523380058,1640117697567,User1
37,212487189,523347437,1640117938618,User1
38,212443066,523471947,1640178257298,User1
39,212421761,523404007,1640178377666,User1
40,212486991,523347434,1640177942013.6428,User1
41,212449798,523477020,1640178091648.9285,User1
42,212440223,523471107,1640178241284.2144,User1
43,212420558,523425865,1640178390919.5,User1
44,212422142,523401985,1640178540554.7856,User1
45,212423095,523391456,1640178690190.0715,User1
46,212365779,523362693,1640178839825.3572,User1
47,212487142,523347425,1640177867196,User1
48,212354722,523380700,1640178914643,User1
49,212430477,523455086,1640181816276,User1
50,212347240,523359642,1640180692356.4,User1
51,212423095,523391456,1640181566019.2,User1
52,212430477,523455047,1640182439682.0,User1
53,212454738,523416862,1640183313344.8,User1
54,212486991,523347434,1640184187007.6,User1
55,212328167,523361317,1640180255525,User1
56,212487206,523347443,1640184623839,User1
57,212479286,523414307,1640192124862,User1
58,212452793,523455849,1640192245678,User1
59,212451954,523470459,1640192365998,User1
60,212486991,523347434,1640191878345.875,User1
61,212481479,523378105,1640191991703.625,User1
62,212478523,523414268,1640192105061.375,User1
63,212468509,523425445,1640192218419.125,User1
64,212452812,523455543,1640192331776.875,User1
65,212451915,523459815,1640192445134.625,User1
66,212451000,523472328,1640192558492.375,User1
67,212451171,523475761,1640192671850.125,User1
68,212487153,523347426,1640191821667,User1
69,212487145,523347430,1640192728529,User1
70,212389603,523464966,1640286051265,User1
71,212433586,523362312,1640285751964.0,User1
72,212348728,523390121,1640285881352.0,User1
73,212394599,523460655,1640286010740.0,User1
74,212455863,523363037,1640286140128.0,User1
75,212486915,523348121,1640286269516.0,User1
76,212450664,523392976,1640285687270,User1
77,212486938,523348106,1640286334210,User1
78,212486991,523347434,1640336527056.3333,User1
79,212473468,523420333,1640336809331.0,User1
80,212465610,523420677,1640337091605.6667,User1
81,212487208,523347454,1640336385919,User1
82,212481684,523395132,1640337232743,User1
83,212486934,523348045,1640364451172.0,User1
84,211398925,522864913,1640366826856.0,User1
85,211631793,521731185,1640369202540.0,User1
86,212486976,523348033,1640363263330,User1
87,211631788,521731142,1640370390382,User1
88,211568336,521724319,1640380868386,User1
89,211631240,521731147,1640381041111.7,User1
90,211592330,521733131,1640381582047.1,User1
91,211565742,521725807,1640382122982.5,User1
92,211404953,522849426,1640382663917.9,User1
93,212486991,523347473,1640383204853.3,User1
94,211631148,521731668,1640380770644,User1
95,212487114,523347464,1640383475321,User1
96,212486991,523347434,1640384843197.5,User1
97,212478027,523363761,1640385164168.5,User1
98,212399406,523381538,1640385485139.5,User1
99,212487145,523347430,1640384682712,User1
100,212398950,523385916,1640385645625,User1
101,212399520,523381538,1640392419635.5,User1
102,212455863,523363037,1640392606118.5,User1
103,212486991,523347434,1640392792601.5,User1
104,212354900,523394595,1640392326394,User1
105,212487129,523347430,1640392885843,User1
106,212487113,523347562,1640437859245,User1
107,212344913,523361652,1640438114264,User1
108,212385425,523365402,1640446295592.5,User1
109,212455863,523363037,1640446682319.5,User1
110,212486991,523347434,1640447069046.5,User1
111,212380836,523365345,1640446102229,User1
112,212487208,523347454,1640447262410,User1
113,212777664,522520575,1640522208393,User1
114,212694406,522076212,1640522813131,User1
115,212487207,523347454,1640521028120,User1
116,212850967,521336699,1640523429119,User1
117,212833423,521337165,1640532593674.8333,User1
118,212543487,521205368,1640532787600.5,User1
119,212518787,521213760,1640532981526.1667,User1
120,212850967,521336699,1640532496712,User1
121,212519625,521214048,1640533078489,User1
122,212519625,521214048,1640533078489,User1
123,212249611,521478789,1640533523000,User1
124,211510216,522218499,1640534382000,User1
125,210538336,522513261,1640534995000,User1
126,212519625,521214048,1640533078489,User1
127,210093372,522350481,1640536062429,User1
128,210093135,522350387,1640536162358.6667,User1
129,210116786,522345314,1640536362218.0,User1
130,210132102,522332725,1640536562077.3333,User1
131,210093372,522350481,1640536062429,User1
132,210132354,522332321,1640536662007,User1
133,210122747,522330097,1640541184072,User1
134,210103807,522329618,1640541304346,User1
135,210081484,522352278,1640541548283,User1
136,210358136,522549619,1640542632606,User1
137,210374380,522554967,1640542752596,User1
138,210122747,522330097,1640541184072,User1
139,210377957,522557329,1640542775786,User1
140,210382144,522559002,1640543945085,User1
141,211093882,522907263,1640544407000,User1
142,211136027,522925226,1640544438000,User1
143,212461249,523479072,1640545246837,User1
144,210382144,522559002,1640543945085,User1
145,212571298,523535153,1640545498142,User1
146,212572669,523533935,1640545601389.3333,User1
147,212505054,523379135,1640545807884.0,User1
148,212486991,523347549,1640546014378.6667,User1
149,212571298,523535153,1640545498142,User1
150,212487187,523347539,1640546117626,User1
151,212486991,523347434,1640601871830.0,User1
152,212440357,523362541,1640601975026.0,User1
153,212403450,523381690,1640602078222.0,User1
154,212487197,523347440,1640601820232,User1
155,212402478,523385204,1640602129820,User1
156,212407169,523381729,1640605201636.1667,User1
157,212455863,523363037,1640609488398.5,User1
158,212486991,523347434,1640613775160.8333,User1
159,212406194,523383154,1640603058255,User1
160,212487129,523347430,1640615918542,User1
161,212347069,523425636,1640619839493,User1
162,212486915,523348159,1640620115170.6,User1
163,212346649,523432006,1640621147245.8,User1
164,212344284,523425712,1640622179321.0,User1
165,212347507,523388252,1640623211396.2,User1
166,212486991,523347511,1640624243471.4,User1
167,212486942,523348151,1640619599133,User1
168,212486926,523347523,1640624759509,User1
169,212487010,523347396,1640628503711.6667,User1
170,212474346,523392486,1640629072335.0,User1
171,212450428,523391761,1640629640958.3333,User1
172,212487233,523347413,1640628219400,User1
173,212450527,523390545,1640629925270,User1
174,212181835,523402672,1640689946000,User1
175,212355766,523359032,1640690379000,User1
176,212486953,523347816,1640689434274.6428,User1
177,212211132,523417396,1640689598693.9285,User1
178,212181873,523403587,1640689763113.2144,User1
179,212211399,523415603,1640689927532.5,User1
180,212356414,523359870,1640690091951.7856,User1
181,212455863,523363037,1640690256371.0715,User1
182,212486133,523357734,1640690420790.3572,User1
183,212486735,523347824,1640689352065,User1
184,212486152,523357745,1640690503000,User1
185,212421589,523404007,1640696926500,User1
186,212452354,523454132,1640697166652,User1
187,212357559,523362617,1640697557000,User1
188,212486991,523347511,1640697136389.1428,User1
189,212440357,523362541,1640697845691.4285,User1
190,212422027,523404006,1640698554993.7144,User1
191,212421245,523417091,1640699264296.0,User1
192,212452411,523454132,1640699973598.2856,User1
193,212452373,523391838,1640700682900.5715,User1
194,212357826,523359909,1640701392202.8572,User1
195,212487341,523347522,1640696781738,User1
196,212487357,523347524,1640701746854,User1
197,212486381,523353881,1640721604382.5,User1
198,212448902,523412361,1640721647517.5,User1
199,212443695,523400764,1640721690652.5,User1
200,212485439,523353840,1640721582815,User1
201,212448341,523412178,1640721712220,User1
202,212443656,523401222,1640729245554.5,User1
203,212445354,523377151,1640729339497.5,User1
204,212486934,523347969,1640729433440.5,User1
205,212441058,523401143,1640729198583,User1
206,212487021,523347953,1640729480412,User1
207,212486991,523347549,1640773109926.0,User1
208,212452373,523391838,1640773190758.0,User1
209,212397308,523390159,1640773271590.0,User1
210,212487359,523347535,1640773069510,User1
211,212397242,523390918,1640773312006,User1
212,212373428,523393059,1640774035470,User1
213,212395839,523390121,1640773974723.8,User1
214,212379188,523389625,1640774095141.4,User1
215,212373714,523389472,1640774215559.0,User1
216,212347507,523388252,1640774335976.6,User1
217,212486896,523348236,1640774456394.2,User1
218,212395757,523391186,1640773914515,User1
219,212486496,523348237,1640774516603,User1
220,212565975,523461533,1640775869854,User1
221,212570534,523535271,1640776267865,User1
222,212505665,523406067,1640776508424,User1
223,212429485,523454552,1640786776667,User1
224,212421436,523421402,1640786896600,User1
225,212486991,523347549,1640775908157.6365,User1
226,212545490,523406295,1640776979040.9092,User1
227,212571716,523463325,1640778049924.182,User1
228,212535820,523503608,1640779120807.4546,User1
229,212571334,523533363,1640780191690.7273,User1
230,212497005,523495521,1640781262574.0,User1
231,212504692,523404159,1640782333457.2727,User1
232,212498970,523393287,1640783404340.5454,User1
233,212429447,523455009,1640784475223.818,User1
234,212455863,523363037,1640785546107.0908,User1
235,212486953,523347740,1640786616990.3635,User1
236,212487359,523347535,1640775372716,User1
237,212487211,523347751,1640787152432,User1
238,212487087,523346672,1640801330750.3333,User1
239,212495555,523364334,1640802194251.0,User1
240,212636337,523379592,1640803057751.6667,User1
241,212484645,523346555,1640800899000,User1
242,212449615,523393240,1640803489502,User1
243,212486971,523347663,1640871318364.8333,User1
244,212455862,523363044,1640872502844.5,User1
