,Longitude,Latitude,TimeStampInMS
0,209783939,522735788,1633089335938
1,209740633,522729720,1633089617812
2,209746477,522719563,1633089737838
3,209747412,522696477,1633089986008
4,209785984,522637513,1633090107248
5,209833480,522539895,1633090348616
6,209835518,522559798,1633090468674
7,209844525,522575066,1633093443148
8,209836667,522574958,1633093577694
9,209833792,522570924,1633093828418
10,209839040,522559720,1633093948792
11,209837235,522543410,1633094070078
12,209801018,522624002,1633094324958
13,209742791,522729890,1633094697587
14,209782918,522735016,1633094938764
15,209781952,522761612,1633253848103
16,209774307,522790641,1633254110000
17,209775024,522787156,1633254127421
18,209844144,522816795,1633254252123
19,210205766,523010873,1633254987738
20,210212500,523010550,1633262674000
21,210140448,522942466,1633263088000
22,210084516,522934825,1633263138676
23,209929962,522787514,1633286782155
24,209941044,522732735,1633287167004
25,209970016,522727089,1633287455380
26,209974442,522695198,1633287698236
27,210038185,522664719,1633288194000
28,210061131,522630310,1633288551439
29,210196362,522494888,1633289767669
30,210210915,522483101,1633289888500
31,210313854,522389870,1633291161780
32,209719486,522715645,1633292331425
33,209794846,522747154,1633345315237
34,209784454,522735526,1633357305476
35,209742089,522730971,1633357563444
36,209728870,522719920,1633357699329
37,209721895,522714962,1633357735744
38,210147802,522178448,1633369062575
39,209942812,522578740,1633369549175
40,209721165,522714996,1633431010186
41,210016251,522445717,1633431558012
42,209964387,522386971,1633434363010
43,209961864,522384069,1633434613000
44,209963624,522386887,1633434637838
45,209938867,522415670,1633434759181
46,209808669,522532182,1633435132729
47,209777695,522654080,1633435373577
48,209784801,522735890,1633448215351
49,209746855,522719677,1633448582591
50,209723078,522702483,1633448732682
51,209782640,522650443,1633448974823
52,209864675,522494497,1633449337955
53,209964600,522388686,1633449701111
54,209985176,522334515,1633449822282
55,210047421,522228584,1633450063242
56,210104283,522308963,1633457346601
57,209794254,522764320,1633459386266
58,209773216,522786598,1633459542599
59,210203495,523013840,1633467268128
60,210221120,522960573,1633467896613
61,209943109,522870115,1633468403056
62,209803621,522747760,1633469211391
63,209783829,522735220,1633527253539
64,209741480,522728891,1633527572078
65,210104506,522308961,1633528330275
66,210062098,522219526,1633538906000
67,210049016,522228197,1633539056413
68,209984161,522332293,1633539444000
69,209985939,522339417,1633539459479
70,209811572,522392762,1633540513164
71,209775946,522430266,1633551959558
72,209796840,522517116,1633552080830
73,209839589,522549149,1633552201880
74,209805008,522624476,1633552323060
75,209778482,522652793,1633552443908
76,209743181,522729649,1633552806090
77,209773280,522786668,1633625848155
78,209836982,522816947,1633625979721
79,210034120,522902816,1633626100000
80,210254489,522955394,1633626367666
81,209778845,522787793,1633635994402
82,209771914,522734008,1633707973252
83,209762768,522732855,1633707989964
84,209719358,522715386,1633708240660
85,209851809,522690812,1633708441726
86,210148127,522178176,1633728602889
87,209721304,522715023,1633733876986
88,209742227,522726334,1633733997562
89,209761263,522732561,1633734118966
90,209783801,522735792,1633803565638
91,209757590,522732105,1633803732848
92,209740286,522724253,1633803854394
93,210087280,522076302,1633805204969
94,210075092,522105865,1633805402637
95,210079676,522352424,1633820935939
96,209685273,522288062,1633821987389
97,209673088,522291859,1633822003000
98,209722693,522351434,1633822150270
99,209735197,522375408,1633822392884
100,209772717,522378875,1633822634788
101,209793545,522634259,1633866407764
102,209748177,522698546,1633866528230
103,209741546,522725408,1633866649685
104,209753298,522730943,1633866770750
105,209778027,522737263,1633935084000
106,209770522,522733816,1633935097635
107,209746380,522730924,1633935218276
108,209742751,522718592,1633935334505
109,209723035,522702477,1633935482736
110,209770455,522667492,1633935603921
111,209802231,522621186,1633935749000
112,209881896,522476126,1633936054374
113,209967182,522390396,1633936301147
114,209981454,522332217,1633936392000
115,210019114,522277646,1633936482000
116,210051961,522216824,1633936691686
117,210039887,522203136,1633936853729
118,210027966,522199820,1633936874142
119,210030181,522201764,1633943253368
120,210042769,522202267,1633943374422
121,210048501,522199338,1633943498183
122,210046020,522239597,1633943619265
123,210012830,522273140,1633943740361
124,209971127,522372464,1633943923686
125,209936115,522422426,1633944066041
126,209885628,522475538,1633944188414
127,209843681,522546925,1633944429475
128,210019991,522196147,1633944868743
129,209940033,522579994,1633947314092
130,209743004,522731171,1633948422980
131,209757761,522731789,1633963639288
132,209740446,522724546,1633963760547
133,209745108,522719181,1633963880920
134,209817573,522595567,1633964242926
135,209885141,522476226,1633964606264
136,209921314,522430407,1633964726232
137,209957349,522421961,1633964847525
138,209943249,522404478,1633964967432
139,210147722,522178505,1633974610720
140,209881916,522555809,1633975656574
141,209856718,522567890,1633977726332
142,209820167,522564883,1633977968683
143,209810075,522563077,1633978087537
144,209820224,522555921,1633978103032
145,209815160,522600909,1633978290730
146,209746355,522705685,1633978533415
147,209742133,522727924,1633978654472
148,209752726,522731255,1633978777382
149,209774601,522734681,1634035006395
150,209750455,522731743,1634035127353
151,209740406,522722280,1634035370670
152,209794566,522633269,1634035610289
153,209833486,522540250,1634035850342
154,209857588,522504011,1634035970456
155,210039484,522279265,1634036472289
156,210043866,522230940,1634036592706
157,210044906,522222992,1634036712366
158,210129434,522191440,1634061927287
159,210145962,522183222,1634062047727
160,210148029,522178288,1634062169569
161,209751728,522730925,1634063298218
162,209804668,522752724,1634124169012
163,209815129,522745638,1634124312000
164,209853282,522699732,1634124418000
165,209851721,522690708,1634124559275
166,210104705,522307702,1634125046862
167,210112834,522302541,1634125137196
168,210131953,522273669,1634125336000
169,210128226,522275429,1634125341623
170,210133839,522270831,1634125356673
171,210133355,522272710,1634125366000
172,210137513,522272501,1634125371882
173,210133433,522272741,1634125396000
174,210135903,522263811,1634125426766
175,210153509,522235864,1634125460083
176,210153172,522229374,1634125502793
177,210145874,522182770,1634145224663
178,210104130,522309060,1634145590828
179,210038446,522045484,1634284800319
180,210036117,522052046,1634284815554
181,210031749,522063207,1634284882153
182,210041501,522068622,1634284984459
183,210047979,522069444,1634285169737
184,210077452,522098399,1634285294179
185,210118427,522191238,1634299957533
186,210109310,522201500,1634303031769
187,210148888,522199059,1634303163240
188,210156441,522226562,1634303404987
189,210120392,522296066,1634303646331
190,210053883,522281456,1634304371524
191,209847509,522300771,1634313537000
192,209900210,522250040,1634313696179
193,209919166,522255877,1634313713000
194,209923133,522255277,1634313719006
195,209920873,522257295,1634313728000
196,210009755,522274017,1634313851000
197,210007131,522272971,1634313861292
198,210009704,522274310,1634313867000
199,210049710,522228537,1634314179086
200,210093786,522209102,1634320463037
201,210107814,522207602,1634320583372
202,210141565,522185726,1634320825611
203,210147558,522178537,1634320946329
204,210104728,522307410,1634321187676
205,209729757,522720423,1634321915983
206,209742586,522719910,1634322035835
207,209780719,522735166,1634330733732
208,209753763,522731089,1634330854845
209,209720329,522715406,1634331097606
210,210017413,522443446,1634331703894
211,210023739,522431252,1634331945110
212,210030041,522411576,1634338678282
213,210039813,522425799,1634338858501
214,210023031,522438438,1634338979034
215,209741551,522725801,1634339757215
216,209761575,522732768,1634339877813
217,209784193,522735967,1634540072935
218,209741157,522727957,1634540253681
219,209745702,522718976,1634540374944
220,209722921,522702567,1634540495319
221,209778336,522656167,1634540616739
222,209815354,522607692,1634540737156
223,209853121,522510145,1634540978951
224,209882140,522472735,1634541100226
225,209931258,522422188,1634541220729
226,209991534,522322041,1634541471254
227,210026519,522203403,1634548102213
228,210045104,522200343,1634548222524
229,210047910,522196944,1634548343955
230,210046222,522208485,1634548464008
231,210026069,522272513,1634548585006
232,210002916,522297044,1634548705070
233,209963623,522356941,1634548826478
234,209941491,522414904,1634551348303
235,209857360,522504751,1634551710329
236,209792292,522632229,1634552011738
237,209743913,522706985,1634552133111
238,209741282,522725223,1634552254532
239,209756323,522731447,1634552374670
240,209742480,522730199,1634565078323
241,209746313,522718416,1634565199259
242,209746313,522718416,1634565326958
243,209724579,522704472,1634565450743
244,209845300,522543370,1634565702175
245,209852307,522508437,1634565822386
246,209885690,522475384,1634565943159
247,209992054,522326961,1634566313652
248,210043123,522230203,1634566553757
249,210048585,522199266,1634580055413
250,210010079,522203264,1634580118300
251,209999117,522200803,1634580140000
252,209992455,522190243,1634580171000
253,209898404,522191572,1634580372000
254,209858975,522193551,1634580419000
255,209787679,522387705,1634589393593
256,209696636,522349484,1634589514027
257,209786723,522387128,1634589639084
258,209777614,522393471,1634589760115
259,209777287,522419458,1634589880191
260,209791224,522487242,1634590001453
261,209834108,522540159,1634590121483
262,209793759,522633870,1634590372787
263,209741645,522711509,1634590504456
264,209741101,522726270,1634590624532
265,209761185,522731903,1634590748087
266,209772597,522734206,1634650173090
267,209748539,522731238,1634650293103
268,209744860,522718692,1634650413434
269,210118694,522312355,1634651396166
270,210140629,522322502,1634651517490
271,209729793,522720463,1634659951896
272,209753601,522731003,1634660192376
273,209782748,522736671,1634662698277
274,209756329,522731785,1634662928278
275,209737169,522725941,1634663055558
276,209734133,522718304,1634663125000
277,209843619,522550635,1634663491751
278,209787895,522483368,1634663702000
279,209787838,522497380,1634676437342
280,209823713,522553085,1634676558392
281,209802513,522622803,1634676678494
282,209746283,522701142,1634676921345
283,209741403,522726536,1634677042446
284,209755971,522731366,1634677163595
285,209774241,522734412,1634737228948
286,209751063,522731012,1634737350091
287,209719420,522715533,1634737591298
288,210104635,522307575,1634738327787
289,210110264,522144470,1634753017000
290,210102043,522153015,1634753150000
291,210096016,522162399,1634753261000
292,210123778,522202138,1634761228024
293,210172573,522211170,1634761349074
294,210113669,522291136,1634761591226
295,210092068,522347961,1634761712611
296,210029145,522432142,1634761957021
297,209982816,522535253,1634762200591
298,209934385,522617455,1634762321549
299,209831733,522722970,1634762600545
300,209770149,522734483,1634829860190
301,209744944,522730959,1634829987944
302,209746759,522718797,1634830108190
303,210148401,522022412,1634831009640
304,210110350,522196395,1634837574000
305,210106736,522200812,1634837585483
306,210098796,522198066,1634837610750
307,210048904,522198352,1634837856618
308,210028121,522272913,1634838104769
309,209983047,522336340,1634838349032
310,209832920,522540255,1634838833047
311,209832799,522552019,1634838953322
312,209808350,522561111,1634839073242
313,209840765,522547257,1634839194330
314,209835202,522548798,1634839315331
315,209837635,522562170,1634839436538
316,209840331,522563639,1634842273874
317,209832915,522561541,1634842292537
318,209814148,522564008,1634842314207
319,209831116,522552851,1634842508829
320,209834246,522551154,1634842538269
321,209777891,522655378,1634842781156
322,209743059,522726230,1634843023630
